text,size
game,532
warriors,480
said,446
advertisement,405
james,374
cavaliers,337
team,323
points,317
games,265
first,260
durant,249
season,245
one,243
page,238
finals,223
nba,209
cleveland,207
golden,205
new,201
think,198
two,195
state,191
players,182
coach,177
go,173
last,173
play,171
home,170
teams,169
please,166
time,164
back,157
three,157
us,152
b,150
times,149
quarter,148
would,148
point,145
basketball,144
like,142
n,140
year,139
york,139
get,136
win,133
kevin,131
player,131
could,118
night,118
lead,117
series,116
tell,116
curry,113
years,113
youre,113
kerr,111
league,111
lebron,111
going,107
interested,105
feedback,104
got,104
still,104
four,102
made,102
second,100
best,97
green,96
must,95
also,94
irving,91
played,91
even,89
box,88
address,87
email,86
scored,86
shot,86
view,86
way,86
big,85
championship,84
clicking,84
select,84
subscribe,84
invalid,83
newsletter,83
newsletters,83
reenter,83
robot,83
verify,83
shooting,82
dont,81
final,81
make,81
playoffs,81
p,80
since,80
court,79
minutes,79
hes,78
rebounds,78
thompson,78
associated,76
sacramento,76
playing,75
right,75
good,74
every,72
left,72
next,72
ball,70
college,70
thats,70
smith,69
conference,68
five,67
im,67
love,67
straight,67
third,67
police,66
another,65
e,65
record,65
well,65
assists,64
went,64
brown,63
man,63
half,62
things,61
guys,60
lot,60
much,60
playoff,60
fourth,59
great,59
end,57
fans,57
may,57
run,57
san,57
stephen,57
clark,56
guard,56
kyrie,56
city,55
draymond,55
know,55
see,55
arena,54
around,54
black,54
cavs,54
many,54
thursday,54
title,54
bench,53
draft,53
led,53
long,53
better,52
lost,52
seasons,52
shots,52
want,52
ap,51
iguodala,51
pointer,51
set,51
steve,51
without,51
friday,50
took,50
wednesday,50
came,49
need,49
put,49
sports,49
seven,48
top,48
winning,48
june,47
theyre,47
yearold,47
antonio,46
lue,46
scoring,46
start,46
week,46
postseason,45
take,45
history,44
making,44
day,43
defense,43
didnt,43
forward,43
including,43
center,42
high,42
kings,42
missed,42
monday,42
people,42
victory,42
early,41
head,41
look,41
part,41
seconds,41
though,41
east,40
j,40
miami,40
return,40
six,40
told,40
career,39
celtics,39
foul,39
jordan,39
least,39
never,39
really,39
rest,39
trying,39
always,38
away,38
free,38
loss,38
national,38
pressmarch,38
raptors,38
remaining,38
tuesday,38
able,37
come,37
coming,37
version,37
west,37
appears,36
article,36
consecutive,36
enough,36
getting,36
news,36
star,36
boston,35
headline,35
magic,35
nearly,35
offense,35
percent,35
th,35
todays,35
klay,34
late,34
offensive,34
philadelphia,34
say,34
something,34
added,33
basket,33
despite,33
eight,33
field,33
griffin,33
hard,33
hit,33
ive,33
kind,33
oakland,33
oklahoma,33
order,33
spurs,33
together,33
andre,32
behind,32
days,32
far,32
regular,32
toronto,32
angeles,31
became,31
edition,31
foot,31
keep,31
los,31
losing,31
march,31
papersubscribe,31
print,31
reprints,31
says,31
states,31
thing,31
ever,30
feel,30
find,30
former,30
g,30
help,30
round,30
stephon,30
takes,30
thought,30
allstar,29
different,29
floor,29
houston,29
kansas,29
lakers,29
life,29
little,29
portland,29
seemed,29
wanted,29
already,28
asked,28
clevelands,28
eastern,28
httpsapnews,28
knee,28
mavericks,28
might,28
mike,28
ncaa,28
pacers,28
pick,28
several,28
stars,28
sunday,28
theres,28
try,28
young,28
become,27
call,27
done,27
held,27
job,27
room,27
starting,27
twitter,27
vs,27
ago,26
comtagnbabasketball,26
effort,26
everything,26
family,26
front,26
fultz,26
group,26
injury,26
korver,26
later,26
leading,26
looking,26
matter,26
outside,26
r,26
role,26
school,26
streak,26
teammates,26
ahead,25
almost,25
calif,25
called,25
clarks,25
course,25
dallas,25
decision,25
following,25
found,25
general,25
line,25
move,25
pointers,25
president,25
seed,25
started,25
walker,25
white,25
work,25
advantage,24
beat,24
cant,24
chance,24
everyone,24
gave,24
indiana,24
likely,24
mark,24
michael,24
nash,24
past,24
perhaps,24
pistons,24
sure,24
tournament,24
villanova,24
world,24
along,23
crowd,23
ended,23
ers,23
finished,23
fouls,23
