text,size
mr,2119
trump,1188
said,852
president,622
russia,599
russian,562
advertisement,439
new,431
trumps,320
would,290
campaign,289
putin,287
election,277
york,267
american,249
united,249
one,244
states,238
investigation,234
page,229
house,222
times,220
intelligence,216
also,213
last,202
people,200
former,180
political,174
administration,172
like,169
officials,169
washington,165
could,160
white,160
mueller,157
time,156
russians,152
news,148
think,148
even,141
special,140
government,138
meeting,138
two,137
according,134
year,134
presidents,132
state,132
f,131
russias,129
moscow,127
first,126
b,125
twitter,125
please,124
sanctions,124
see,121
department,118
us,116
security,115
told,113
donald,112
foreign,111
national,110
counsel,109
many,108
say,107
committee,106
including,105
statement,105
made,104
presidential,103
clinton,102
go,102
newsletter,102
get,101
years,101
general,99
home,99
interference,99
ms,99
interview,98
public,98
republican,97
called,96
information,96
media,93
since,93
way,92
whether,92
must,91
influence,90
law,90
may,90
business,89
email,89
know,89
meddling,89
u,88
facebook,87
obama,87
part,86
agency,84
sessions,84
tell,84
world,84
companies,83
company,82
appears,80
day,80
indictment,80
interested,80
order,80
bannon,79
youre,79
address,78
article,78
view,77
never,76
vladimir,75
director,74
policy,74
elections,73
much,73
office,73
americans,72
attack,72
week,71
muellers,70
senate,70
used,70
feedback,69
republicans,69
still,69
ukraine,69
work,69
asked,68
congress,68
country,68
dont,68
efforts,68
hillary,68
official,68
select,68
version,68
adviser,67
lawyer,67
make,67
michael,67
putins,67
subscribe,66
took,66
another,65
social,65
already,64
close,64
lawyers,64
senior,64
team,64
well,64
wrote,64
democrats,63
evidence,63
million,63
oil,63
real,63
robert,63
democratic,62
newsletters,62
reporting,62
believe,61
chief,61
help,61
justice,61
take,61
verify,61
box,60
clicking,60
invalid,60
reenter,60
relations,60
reported,60
robot,60
saying,60
top,60
came,59
days,59
hotel,59
inquiry,59
manafort,59
money,59
opinion,59
v,59
america,58
back,58
legal,58
advisers,57
c,57
headline,57
mrs,57
role,57
todays,57
working,57
among,56
clear,56
edition,56
friday,56
india,56
kremlin,56
month,56
need,56
print,56
response,56
federal,55
jr,55
nothing,55
organization,55
papersubscribe,55
reprints,55
industry,54
libya,54
report,54
want,54
without,54
countries,53
fact,53
hes,53
least,53
effort,52
follow,52
going,52
group,52
international,52
members,52
support,52
today,52
attorney,51
call,51
family,51
n,51
questions,51
says,51
secretary,51
senator,51
several,51
supported,51
war,51
contributed,50
far,50
memo,50
ties,50
end,49
question,49
trying,49
case,48
chairman,48
left,48
monday,48
recent,48
vote,48
party,47
politics,47
something,47
aides,46
known,46
look,46
march,46
might,46
military,46
minister,46
use,46
didnt,45
e,45
four,45
keep,45
action,44
book,44
collusion,44
investigators,44
options,44
power,44
right,44
agencies,43
months,43
though,43
three,43
court,42
democracy,42
dr,42
leaders,42
met,42
sign,42
trucks,42
wednesday,42
added,41
announced,41
list,41
lot,41
person,41
r,41
story,41
worked,41
collapse,40
issues,40
john,40
later,40
leader,40
others,40
process,40
project,40
syria,40
deal,39
iii,39
july,39
platforms,39
put,39
safety,39
show,39
yet,39
administrations,38
along,38
become,38
briefing,38
fake,38
flynn,38
gas,38
matter,38
past,38
possible,38
press,38
prime,38
private,38
relationship,38
research,38
spy,38
around,37
charges,37
comment,37
energy,37
found,37
hacking,37
morning,37
offshore,37
p,37
representative,37
account,36
democrat,36
every,36
making,36
name,36
point,36
reporters,36
stop,36
taken,36
attacks,35
black,35
center,35
come,35
despite,35
fintiklis,35
fitzgerald,35
great,35
little,35
operations,35
reports,35
thursday,35
toward,35
whose,35
behind,34
continue,34
early,34
good,34
important,34
long,34
nations,34
often,34
repeatedly,34
set,34
son,34
staff,34
system,34
tuesday,34
became,33
done,33
dossier,33
enough,33
february,33
financial,33
involved,33
issued,33
mark,33
post,33
publicly,33
recently,33
seen,33
using,33
accused,32
ambassador,32
city,32
cyberattacks,32
decision,32
deputy,32
european,32
executive,32
groups,32
gulf,32
included,32
instead,32
move,32
paid,32
rather,32
seemed,32
spokesman,32
associates,31
began,31
believed,31
comey,31
comments,31
emails,31
europe,31
idea,31
line,31
message,31
north,31
open,31
place,31
property,31
really,31
threat,31
west,31
act,30
actions,30
away,30
better,30
britain,30
british,30
defense,30
documents,30
editorial,30
health,30
percent,30
section,30
sources,30
tower,30
tried,30
weeks,30
best,29
building,29
continued,29
declined,29
denied,29
find,29
focus,29
future,29
got,29
late,29
major,29
market,29
online,29
rallies,29
records,29
released,29
sent,29
strategy,29
thats,29
western,29
allegations,28
anything,28
appeared,28
bank,28
barack,28
clintons,28
contacts,28
florida,28
gates,28
helped,28
im,28
interests,28
james,28
second,28
seems,28
taking,28
talk,28
things,28
allies,27
criticism,27
diplomats,27
estate,27
ever,27
fired,27
george,27
given,27
internet,27
investigating,27
k,27
meet,27
november,27
nytopinion,27
operation,27
race,27
w,27
agent,26
calling,26
candidate,26
concerns,26
countrys,26
daily,26
deripaska,26
described,26
dollars,26
earlier,26
economy,26
firm,26
grand,26
history,26
however,26
immigration,26
next,26
organizations,26
police,26
presidency,26
prigozhin,26
read,26
served,26
sought,26
start,26
summer,26
union,26
via,26
weapons,26
americas,25
anyone,25
certainly,25
conference,25
control,25
december,25
doesnt,25
embassy,25
gottlieb,25
imposed,25
investigations,25
knew,25
maggie,25
nearly,25
outside,25
particularly,25
paul,25
published,25
significant,25
threats,25
together,25
vashukevich,25
accounts,24
ago,24
almost,24
always,24
august,24
corruption,24
dowd,24
experts,24
FALSE,24
forward,24
june,24
lawmakers,24
lead,24
letter,24
nader,24
nato,24
peter,24
release,24
rules,24
sanders,24
soon,24
soviet,24
speech,24
st,24
thing,24
try,24
across,23
agreement,23
air,23
billion,23
bush,23
created,23
delivered,23
different,23
economic,23
editor,23
eric,23
executives,23
give,23
hard,23
include,23
indian,23
interest,23
issue,23
less,23
likely,23
lying,23
night,23
offered,23
protect,23
provide,23
serious,23
spent,23
steps,23
suggested,23
sunday,23
victory,23
video,23
angelle,22
attempt,22
attention,22
bill,22
change,22
details,22
diplomatic,22
directly,22
dismissed,22
drug,22
enforcement,22
eventually,22
everything,22
free,22
guilty,22
number,22
parties,22
poisoning,22
prince,22
probably,22
prosecutors,22
received,22
request,22
run,22
seeking,22
signed,22
simply,22
speaking,22
tax,22
university,22
went,22
women,22
allow,21
arms,21
beyond,21
brennan,21
conversation,21
current,21
difficult,21
document,21
face,21
familiar,21
focused,21
global,21
head,21
hotels,21
hundreds,21
institutions,21
interviews,21
islamic,21
j,21
kushner,21
latest,21
led,21
man,21
measures,21
miles,21
panama,21
partisan,21
perhaps,21
personal,21
posts,21
raised,21
september,21
series,21
texas,21
warrant,21
written,21
wrong,21
activities,20
aimed,20
approach,20
behavior,20
board,20
congressional,20
cooperation,20
course,20
criminal,20
david,20
delhi,20
environmental,20
forces,20
gave,20
helping,20
hours,20
impose,20
individuals,20
leading,20
legislation,20
member,20
mike,20
nuclear,20
opposition,20
partners,20
petersburg,20
potential,20
powerful,20
projects,20
propaganda,20
saturday,20
scott,20
tennessee,20
thought,20
transition,20
TRUE,20
turkey,20
wants,20
access,19
cannot,19
care,19
china,19
cohen,19
coming,19
concluded,19
council,19
daughter,19
deep,19
discussed,19
discussions,19
disinformation,19
doubt,19
electoral,19
equipment,19
fight,19
fire,19
force,19
g,19
governments,19
hearing,19
intended,19
internal,19
knowledge,19
knows,19
large,19
libyan,19
looking,19
management,19
old,19
passed,19
phone,19
remains,19
requests,19
respond,19
rule,19
started,19
statements,19
sure,19
truck,19
understand,19
wanted,19
words,19
worth,19
actually,18
backed,18
brought,18
campaigns,18
charged,18
conversations,18
debate,18
effect,18
either,18
five,18
full,18
glider,18
held,18
inbox,18
inside,18
intervention,18
involvement,18
january,18
jury,18
lost,18
means,18
meetings,18
october,18
officers,18
posted,18
program,18
reason,18
room,18
sales,18
subject,18
subpoena,18
systems,18
terms,18
trade,18
turned,18
views,18
voters,18
adam,17
agreed,17
alleged,17
analysis,17
association,17
bad,17
big,17
bring,17
buy,17
california,17
clearly,17
clifford,17
committees,17
conflict,17
contact,17
contract,17
corallo,17
crime,17
critical,17
critics,17
dispute,17
disrupt,17
drilling,17
else,17
final,17
fox,17
germany,17
gowdy,17
haberman,17
happen,17
hicks,17
hope,17
horizon,17
investment,17
job,17
leadership,17
life,17
matters,17
mean,17
messages,17
moment,17
moscows,17
noted,17
obtained,17
pardon,17
played,17
pompeo,17
previously,17
products,17
reached,17
related,17
schmidt,17
seized,17
service,17
services,17
spread,17
stephen,17
strong,17
theres,17
thousands,17
trip,17
tweet,17
ultimately,17
undermine,17
urged,17
wasnt,17
website,17
wont,17
ability,16
adding,16
affairs,16
agents,16
although,16
associated,16
broader,16
build,16
calls,16
certain,16
claim,16
claims,16
cold,16
common,16
communications,16
community,16
conduct,16
connection,16
connections,16
counsels,16
create,16
deals,16
decades,16
discuss,16
drugs,16
eastern,16
elected,16
emissions,16
episode,16
example,16
expected,16
expressed,16
favor,16
fisa,16
friend,16
haftar,16
impact,16
independent,16
interfere,16
ive,16
kept,16
korea,16
lack,16
largely,16
matt,16
mccabe,16
midterm,16
millions,16
officer,16
play,16
pleaded,16
prevent,16
pruitt,16
questioned,16
quickly,16
sater,16
sex,16
summit,16
tillerson,16
trolls,16
visit,16
ways,16
whats,16
win,16
able,15
addition,15
answer,15
argued,15
ask,15
assertion,15
based,15
ben,15
burr,15
claimed,15
classified,15
coats,15
colleagues,15
comes,15
data,15
decided,15
deeply,15
deepwater,15
developers,15
discussion,15
ensure,15
event,15
explain,15
goal,15
goldman,15
happened,15
heart,15
illegal,15
indeed,15
instagram,15
key,15
kirillov,15
leaving,15
link,15
lives,15
london,15
nation,15
navalny,15
obstruction,15
offer,15
offering,15
oligarchs,15
opponents,15
owners,15
parts,15
pentagon,15
pointed,15
problems,15
prosecutor,15
provided,15
providing,15
quoted,15
record,15
refused,15
regulations,15
responded,15
saw,15
school,15
secret,15
seem,15
senators,15
sergei,15
showed,15
six,15
talking,15
talks,15
telling,15
testimony,15
unusual,15
voting,15
warned,15
younger,15
ads,14
agencys,14
ally,14
alone,14
arab,14
authorities,14
blame,14
brand,14
break,14
capital,14
cases,14
central,14
circle,14
colluded,14
concern,14
confirmed,14
conspiracy,14
decisions,14
departments,14
device,14
domestic,14
dozen,14
east,14
evening,14
exactly,14
failed,14
filed,14
firing,14
front,14
getting,14
golf,14
hackers,14
hoax,14
host,14
human,14
indicted,14
interviewed,14
isnt,14
jim,14
joined,14
l,14
let,14
local,14
looks,14
main,14
majority,14
mention,14
mexico,14
modern,14
multiple,14
near,14
nerve,14
network,14
owner,14
position,14
promised,14
rally,14
referring,14
remarks,14
rights,14
rosenstein,14
scandal,14
seek,14
sense,14
skripal,14
sometimes,14
spokeswoman,14
step,14
supporters,14
tough,14
treasury,14
widely,14
workers,14
accusations,13
andrew,13
appointed,13
apuzzo,13
asking,13
assessment,13
attended,13
authority,13
briefed,13
businessman,13
candidates,13
children,13
com,13
concerned,13
conservative,13
contracts,13
cover,13
crimes,13
criticizing,13
cut,13
decade,13
determined,13
direct,13
dmitriev,13
eight,13
elsewhere,13
emerged,13
especially,13
expulsions,13
fear,13
feel,13
fighting,13
finally,13
goes,13
investigate,13
jared,13
journalists,13
judge,13
language,13
listen,13
longtime,13
manager,13
needed,13
offers,13
oligarch,13
operatives,13
ordered,13
platform,13
popular,13
port,13
purpose,13
reelection,13
results,13
running,13
schiff,13
scl,13
serve,13
seychelles,13
shortly,13
sitting,13
someone,13
south,13
spoke,13
steve,13
suggest,13
supporting,13
surveillance,13
theyre,13
thomas,13
trust,13
units,13
updates,13
various,13
virginia,13
voter,13
waters,13
within,13
witnesses,13
aggressive,12
aide,12
analysts,12
approval,12
assistance,12
audience,12
available,12
base,12
becoming,12
bipartisan,12
built,12
changed,12
closer,12
computer,12
conducted,12
continues,12
continuing,12
controlled,12
counter,12
effective,12
ethics,12
events,12
facts,12
fbi,12
fraud,12
friends,12
fund,12
hand,12
homeland,12
interfered,12
involving,12
jeff,12
join,12
joint,12
kremlins,12
laws,12
leave,12
louisiana,12
lukoil,12
luxury,12
makes,12
maybe,12
miss,12
names,12
numerous,12
nunes,12
opened,12
operating,12
opportunity,12
owned,12
panel,12
pardons,12
particular,12
pay,12
planned,12
possibility,12
pressure,12
prices,12
push,12
putting,12
remain,12
remained,12
remember,12
result,12
revealed,12
richard,12
sarah,12
sees,12
sexual,12
shah,12
short,12
shows,12
similar,12
situation,12
small,12
sophisticated,12
speak,12
spending,12
stance,12
study,12
topic,12
towers,12
troll,12
vice,12
votes,12
weekend,12
whatever,12
willing,12
witness,12
active,11
activity,11
additional,11
appear,11
approved,11
associate,11
attempts,11
baker,11
behalf,11
body,11
bureau,11
businesses,11
buyers,11
cast,11
chiefs,11
citing,11
citizens,11
conclusion,11
consequences,11
considered,11
consultant,11
contributor,11
crisis,11
criticize,11
criticized,11
declared,11
defend,11
directed,11
disclosure,11
draw,11
eager,11
emirates,11
emirati,11
enemy,11
engaged,11
fair,11
father,11
followed,11
foundation,11
fully,11
funding,11
heres,11
high,11
hired,11
hosted,11
impeachment,11
imposing,11
increasingly,11
jobs,11
learned,11
limited,11
living,11
looked,11
malicious,11
meddle,11
michigan,11
middle,11
ministry,11
mission,11
mostly,11
moved,11
movement,11
oath,11
ones,11
oped,11
operators,11
opposed,11
organized,11
outcome,11
panamanian,11
partner,11
plan,11
plans,11
previous,11
privately,11
problem,11
professor,11
prove,11
questioning,11
quite,11
rest,11
return,11
seven,11
side,11
sold,11
source,11
stolen,11
stories,11
street,11
technology,11
term,11
testified,11
throughout,11
van,11
voted,11
wall,11
yanukovych,11
aboard,10
abroad,10
absolutely,10
advised,10
alexander,10
allowed,10
answers,10
arent,10
argument,10
arrested,10
avoided,10
aware,10
bangkok,10
bannons,10
battle,10
beginning,10
begun,10
border,10
bots,10
bought,10
brown,10
capitol,10
carried,10
cause,10
closely,10
companys,10
complained,10
conducting,10
congratulate,10
convinced,10
cooperate,10
cooperating,10
coverage,10
creating,10
credibility,10
crimea,10
dangerous,10
der,10
designed,10
detailed,10
discord,10
enemies,10
entire,10
except,10
expelled,10
feb,10
figures,10
firms,10
flash,10
france,10
funds,10
generally,10
greater,10
ground,10
handling,10
harder,10
hear,10
highly,10
huckabee,10
hunt,10
identified,10
increase,10
indias,10
indictments,10
inspector,10
integrity,10
investigative,10
iran,10
leaks,10
level,10
mass,10
model,10
mumbai,10
natural,10
needs,10
neither,10
notes,10
pattaya,10
playing,10
policies,10
posed,10
potentially,10
pressed,10
primary,10
product,10
prompted,10
properties,10
raise,10
range,10
reaction,10
reading,10
red,10
reporter,10
representatives,10
required,10
responsibility,10
retired,10
review,10
rightwing,10
shared,10
shown,10
shut,10
signal,10
signs,10
somebody,10
sow,10
stand,10
standards,10
starting,10
steele,10
stood,10
strategist,10
successful,10
