text,size
trump,1319
russia,1130
httpst,697
donald,409
palmerreport,402
rvawonk,398
floor,370
fire,335
confirms,315
tower,314
trumps,283
putin,254
rt,253
says,244
time,233
remember,231
st,216
wants,213
guy,208
assad,206
friends,198
forrt,196
next,196
bombed,195
caring,195
hospitals,195
propped,195
trumprussia,195
literally,177
far,171
john,167
day,166
th,165
kelly,164
blackmail,161
screaming,160
dirt,157
syria,157
miss,156
universe,156
started,135
prison,133
sanctions,132
lives,126
released,126
went,126
rogerrt,120
us,114
couqgjxvztrt,113
russian,112
attack,106
theres,101
running,94
admin,92
hisrt,92
ring,91
gambling,90
convicted,89
owns,89
obama,82
sarin,79
scandal,77
including,76
money,76
killed,75
realdonaldtrump,75
krassenstein,73
gas,72
injured,72
syrians,72
womenchildren,72
entire,69
laundered,69
cambridge,67
something,67
cyprus,66
fake,66
work,65
tougher,64
weird,64
amp,63
analyticas,63
cruz,63
ted,63
president,59
potus,58
long,56
russiansupporrt,56
via,56
doj,55
mueller,55
must,54
roger,54
congress,53
doesnt,53
document,51
trumprt,51
dojfbi,47
exactly,47
opened,47
doc,46
investigates,46
provide,46
repleezeldin,46
sc,46
stating,46
woriginal,46
coqvmstvrt,44
fit,44
indisputable,44
presssec,44
may,42
make,41
nunes,41
officials,40
demand,39
dismisses,39
investigation,39
new,39
coincidence,38
hes,38
year,38
collusion,37
fbi,37
politico,37
crewcrew,36
know,36
everything,35
told,35
announced,34
nsa,34
administration,33
least,33
move,33
news,33
stone,33
trumprussrt,33
another,32
colosxxvieq,32
couldnt,32
gave,32
two,32
classified,31
find,31
put,31
campaign,30
election,30
every,30
man,30
perjuring,30
problems,30
proudresister,30
testifies,30
cia,29
department,29
elections,29
russians,29
slsmith,29
suing,29
would,29
chemical,28
china,28
information,28
like,28
media,28
withdraw,28
coxkqxqgwsrt,27
ru,27
bluster,26
caved,26
get,26
gop,26
jail,26
oligarch,26
well,26
fabricated,25
fired,25
intention,25
leaving,25
one,25
repeated,25
total,25
trt,25
america,24
throughrt,24
amerikangirlbot,23
go,23
going,23
hillary,23
people,23
secret,23
shame,23
theunsilent,23
within,23
evidence,22
good,22
think,22
assets,21
even,21
exrt,21
let,21
said,21
dont,20
emails,20
things,20
truth,20
cort,19
isis,19
isnt,19
made,19
start,19
still,19
wanted,19
allowed,18
amazing,18
cozlbbqnrt,18
FALSE,18
flag,18
im,18
kamalaharris,18
mcspocky,18
back,17
country,17
launderedrt,17
oligarchs,17
reason,17
see,17
appeasement,16
byronyork,16
claims,16
doubt,16
history,16
interfered,16
lead,16
nra,16
object,16
path,16
philgop,16
regardless,16
sethabramson,16
shiny,16
smooth,16
targeted,16
took,16
war,16
best,15
maybe,15
mr,15
need,15
policy,15
russias,15
salon,15
sanders,15
soon,15
state,15
story,15
tax,15
trying,15
u,15
weeks,15
withdrawal,15
bizarre,14
connections,14
corporate,14
delayed,14
individuals,14
josephazam,14
many,14
mobster,14
much,14
plan,14
right,14
safetypindaily,14
spaymsm,14
threw,14
aesthetic,13
aspect,13
behind,13
clinton,13
design,13
destroy,13
interior,13
left,13
million,13
paulwaldman,13
possibility,13
probe,13
putins,13
say,13
sure,13
twisted,13
underappreciated,13
video,13
weapons,13
yet,13
ago,12
becoming,12
claim,12
clear,12
coijmsgxtuac,12
conspiracy,12
coqpyzoert,12
debate,12
demanded,12
floated,12
last,12
lying,12
maxblumenthal,12
occupy,12
point,12
pullout,12
remarks,12
respond,12
russrt,12
saudiarabia,12
service,12
set,12
show,12
since,12
tantrum,12
target,12
three,12
used,12
world,12
wrong,12
altfreaks,11
americans,11
become,11
coqkwvhzxmf,11
debatrt,11
englishalwaght,11
enough,11
expulsions,11
family,11
fox,11
foxnews,11
greatrt,11
hannity,11
hope,11
interfere,11
investigate,11
iran,11
launches,11
pert,11
take,11
todays,11
tonight,11
using,11
w,11
whats,11
anyone,10
anything,10
attacks,10
corrupted,10
